index,country,iso2,values,year,unit
1.1.1,AGO,AO,48,2018,PERCENT
1.1.1,ALB,AL,2,2017,PERCENT
1.1.1,ARE,AE,0,2014,PERCENT
1.1.1,ARG,AR,1,2018,PERCENT
1.1.1,ARM,AM,2,2018,PERCENT
1.1.1,AUS,AU,1,2014,PERCENT
1.1.1,AUT,AT,0,2017,PERCENT
1.1.1,AZE,AZ,0,2005,PERCENT
1.1.1,BDI,BI,72,2013,PERCENT
1.1.1,BEL,BE,0,2017,PERCENT
1.1.1,BEN,BJ,50,2015,PERCENT
1.1.1,BFA,BF,44,2014,PERCENT
1.1.1,BGD,BD,15,2016,PERCENT
1.1.1,BGR,BG,1,2017,PERCENT
1.1.1,BIH,BA,0,2011,PERCENT
1.1.1,BLR,BY,0,2018,PERCENT
1.1.1,BOL,BO,5,2018,PERCENT
1.1.1,BRA,BR,4,2018,PERCENT
1.1.1,BTN,BT,2,2017,PERCENT
1.1.1,BWA,BW,16,2015,PERCENT
1.1.1,CAF,CF,66,2008,PERCENT
1.1.1,CAN,CA,1,2013,PERCENT
1.1.1,CHE,CH,0,2017,PERCENT
1.1.1,CHL,CL,0,2017,PERCENT
1.1.1,CHN,CN,1,2016,PERCENT
1.1.1,CIV,CI,28,2015,PERCENT
1.1.1,CMR,CM,24,2014,PERCENT
1.1.1,COD,CD,77,2012,PERCENT
1.1.1,COG,CG,37,2011,PERCENT
1.1.1,COL,CO,4,2018,PERCENT
1.1.1,COM,KM,18,2014,PERCENT
1.1.1,CPV,CV,3,2015,PERCENT
1.1.1,CRI,CR,1,2018,PERCENT
1.1.1,CYP,CY,0,2017,PERCENT
1.1.1,CZE,CZ,0,2017,PERCENT
1.1.1,DEU,DE,0,2016,PERCENT
1.1.1,DJI,DJ,17,2017,PERCENT
1.1.1,DNK,DK,0,2017,PERCENT
1.1.1,DOM,DO,0,2018,PERCENT
1.1.1,DZA,DZ,1,2011,PERCENT
1.1.1,ECU,EC,3,2018,PERCENT
1.1.1,EGY,EG,3,2017,PERCENT
1.1.1,ESP,ES,1,2017,PERCENT
1.1.1,EST,EE,0,2017,PERCENT
1.1.1,ETH,ET,31,2015,PERCENT
1.1.1,FIN,FI,0,2017,PERCENT
1.1.1,FJI,FJ,1,2013,PERCENT
1.1.1,FRA,FR,0,2017,PERCENT
1.1.1,FSM,FM,15,2013,PERCENT
1.1.1,GAB,GA,3,2017,PERCENT
1.1.1,GBR,GB,0,2016,PERCENT
1.1.1,GEO,GE,5,2018,PERCENT
1.1.1,GHA,GH,13,2016,PERCENT
1.1.1,GIN,GN,35,2012,PERCENT
1.1.1,GMB,GM,10,2015,PERCENT
1.1.1,GNB,GW,67,2010,PERCENT
1.1.1,GRC,GR,1,2017,PERCENT
1.1.1,GTM,GT,9,2014,PERCENT
1.1.1,HND,HN,17,2018,PERCENT
1.1.1,HRV,HR,1,2017,PERCENT
1.1.1,HTI,HT,24,2012,PERCENT
1.1.1,HUN,HU,1,2017,PERCENT
1.1.1,IDN,ID,5,2018,PERCENT
1.1.1,IND,IN,21,2011,PERCENT
1.1.1,IRL,IE,0,2016,PERCENT
1.1.1,IRN,IR,0,2017,PERCENT
1.1.1,IRQ,IQ,3,2012,PERCENT
1.1.1,ISL,IS,0,2015,PERCENT
1.1.1,ISR,IL,0,2016,PERCENT
1.1.1,ITA,IT,1,2017,PERCENT
1.1.1,JAM,JM,2,2004,PERCENT
1.1.1,JOR,JO,0,2010,PERCENT
1.1.1,JPN,JP,1,2013,PERCENT
1.1.1,KAZ,KZ,0,2017,PERCENT
1.1.1,KEN,KE,37,2015,PERCENT
1.1.1,KGZ,KG,1,2018,PERCENT
1.1.1,KIR,KI,13,2006,PERCENT
1.1.1,KOR,KR,0,2012,PERCENT
1.1.1,LAO,LA,23,2012,PERCENT
1.1.1,LBN,LB,0,2011,PERCENT
1.1.1,LBR,LR,41,2016,PERCENT
1.1.1,LCA,LC,5,2016,PERCENT
1.1.1,LKA,LK,1,2016,PERCENT
1.1.1,LSO,LS,27,2017,PERCENT
1.1.1,LTU,LT,1,2017,PERCENT
1.1.1,LUX,LU,0,2017,PERCENT
1.1.1,LVA,LV,1,2017,PERCENT
1.1.1,MAR,MA,1,2013,PERCENT
1.1.1,MDA,MD,0,2018,PERCENT
1.1.1,MDG,MG,78,2012,PERCENT
1.1.1,MDV,MV,0,2016,PERCENT
1.1.1,MEX,MX,2,2018,PERCENT
1.1.1,MKD,MK,4,2017,PERCENT
1.1.1,MLI,ML,50,2009,PERCENT
1.1.1,MLT,MT,0,2017,PERCENT
1.1.1,MMR,MM,2,2017,PERCENT
1.1.1,MNE,ME,2,2015,PERCENT
1.1.1,MNG,MN,1,2018,PERCENT
1.1.1,MOZ,MZ,63,2014,PERCENT
1.1.1,MRT,MR,6,2014,PERCENT
1.1.1,MUS,MU,0,2017,PERCENT
1.1.1,MWI,MW,70,2016,PERCENT
1.1.1,MYS,NY,0,2015,PERCENT
1.1.1,NAM,NA,13,2015,PERCENT
1.1.1,NER,NE,45,2014,PERCENT
1.1.1,NGA,NG,54,2009,PERCENT
1.1.1,NIC,NI,3,2014,PERCENT
1.1.1,NLD,NL,0,2017,PERCENT
1.1.1,NOR,NO,0,2017,PERCENT
1.1.1,NPL,NP,15,2010,PERCENT
1.1.1,PAK,PK,4,2015,PERCENT
1.1.1,PAN,PA,2,2018,PERCENT
1.1.1,PER,PE,3,2018,PERCENT
1.1.1,PHL,PH,6,2015,PERCENT
1.1.1,PNG,PG,38,2009,PERCENT
1.1.1,POL,PL,0,2017,PERCENT
1.1.1,PRT,PT,0,2017,PERCENT
1.1.1,PRY,PY,2,2018,PERCENT
1.1.1,PSE,PS,1,2016,PERCENT
1.1.1,ROU,RO,4,2017,PERCENT
1.1.1,RUS,RU,0,2018,PERCENT
1.1.1,RWA,RW,56,2016,PERCENT
1.1.1,SDN,SD,13,2014,PERCENT
1.1.1,SEN,SN,38,2011,PERCENT
1.1.1,SLB,SB,25,2013,PERCENT
1.1.1,SLE,SL,40,2018,PERCENT
1.1.1,SLV,SV,2,2018,PERCENT
1.1.1,SRB,RS,6,2017,PERCENT
1.1.1,SSD,SS,43,2009,PERCENT
1.1.1,STP,ST,35,2017,PERCENT
1.1.1,SVK,SK,1,2016,PERCENT
1.1.1,SVN,SI,0,2017,PERCENT
1.1.1,SWE,SE,0,2017,PERCENT
1.1.1,SWZ,SZ,28,2016,PERCENT
1.1.1,SYC,SC,1,2013,PERCENT
1.1.1,SYR,SY,2,2004,PERCENT
1.1.1,TCD,TD,38,2011,PERCENT
1.1.1,TGO,TG,50,2015,PERCENT
1.1.1,THA,TH,0,2018,PERCENT
1.1.1,TJK,TJ,5,2015,PERCENT
1.1.1,TLS,TL,31,2014,PERCENT
1.1.1,TON,TO,1,2015,PERCENT
1.1.1,TUN,TN,0,2015,PERCENT
1.1.1,TUR,TR,0,2018,PERCENT
1.1.1,TUV,TV,3,2010,PERCENT
1.1.1,TZA,TZ,49,2017,PERCENT
1.1.1,UGA,UG,42,2016,PERCENT
1.1.1,UKR,UA,0,2018,PERCENT
1.1.1,URY,UY,0,2018,PERCENT
1.1.1,USA,US,1,2016,PERCENT
1.1.1,UZB,UZ,62,2003,PERCENT
1.1.1,VEN,VE,10,2006,PERCENT
1.1.1,VNM,VN,2,2018,PERCENT
1.1.1,VUT,VU,13,2010,PERCENT
1.1.1,WSM,WS,1,2013,PERCENT
1.1.1,YEM,YE,19,2014,PERCENT
1.1.1,ZAF,ZA,19,2014,PERCENT
1.1.1,ZMB,ZM,58,2015,PERCENT
1.1.1,ZWE,ZW,34,2017,PERCENT
